original_species,location_name,provenance_latitude,provenance_longitude,growth_site_lat,growth_site_lon,growing_conditions,reference,original_duration,original_recovery,original_term,HT_type,static_dynamic,duration_category,recovery_category,method,HT_standardized,full_ht_method,comments,Family,HT,Agriculture_sp,Notes_on_ag_status,updated_species,wcvp_authors
Conostegia xalapensis,Parque Nacional Altos de Campana,8.6875,-79.9875,8.6875,-79.9875,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Melastomataceae,45.7,N,NA,Conostegia xalapensis,(Bonpl.) D.Don ex DC.
Cordia alliodora,Arraijan,8.9394,-79.6423,8.9394,-79.6423,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Boraginaceae,51.5,N,NA,Cordia alliodora,(Ruiz & Pav.) Oken
Cordia alliodora,Arraijan,8.9394,-79.6423,8.9394,-79.6423,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Boraginaceae,50,N,NA,Cordia alliodora,(Ruiz & Pav.) Oken
Cupania cinerea,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Sapindaceae,49,N,NA,Cupania cinerea,Poepp.
Cupania cinerea,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Sapindaceae,46.2,N,NA,Cupania cinerea,Poepp.
Cupania rufescens,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Sapindaceae,49.8,N,NA,Cupania rufescens,Triana & Planch.
Cupania rufescens,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Sapindaceae,45.7,N,NA,Cupania rufescens,Triana & Planch.
Cyrilla racemiflora,Cerro Jefe,9.2319,-79.3954,9.2319,-79.3954,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Cyrillaceae,46.7,N,NA,Cyrilla racemiflora,L.
Cyrilla racemiflora,Cerro Jefe,9.2319,-79.3954,9.2319,-79.3954,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Cyrillaceae,49.3,N,NA,Cyrilla racemiflora,L.
Dipteryx oleifera,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Fabaceae,51.7,N,NA,Dipteryx oleifera,Benth.
Dipteryx oleifera,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Fabaceae,48.7,N,NA,Dipteryx oleifera,Benth.
Dypsis lutescens,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Arecaceae,52.8,N,NA,Dypsis lutescens,(H.Wendl.) Beentje & J.Dransf.
Dypsis lutescens,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Arecaceae,50.9,N,NA,Dypsis lutescens,(H.Wendl.) Beentje & J.Dransf.
Eugenia octopleura,Cerro Jefe,9.2319,-79.3954,9.2319,-79.3954,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Myrtaceae,42.8,N,NA,Eugenia octopleura,Krug & Urb.
Eugenia octopleura,Cerro Jefe,9.2319,-79.3954,9.2319,-79.3954,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Myrtaceae,49,N,NA,Eugenia octopleura,Krug & Urb.
Ficus benjamina,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Moraceae,49.2,N,NA,Ficus benjamina,L.
Ficus benjamina,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Moraceae,50,N,NA,Ficus benjamina,L.
Ficus insipida,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Moraceae,50.8,N,NA,Ficus insipida,Willd.
Ficus insipida,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Moraceae,48.1,N,NA,Ficus insipida,Willd.
