original_species,location_name,provenance_latitude,provenance_longitude,growth_site_lat,growth_site_lon,growing_conditions,reference,original_duration,original_recovery,original_term,HT_type,static_dynamic,duration_category,recovery_category,method,HT_standardized,full_ht_method,comments,Family,HT,Agriculture_sp,Notes_on_ag_status,updated_species,wcvp_authors
Santalum acuminatum,Australian Arid Lands Botanic Garden,NA,NA,-32.4656,137.7446,common garden,"Curtis EM, Knight CA, Petrou K, Leigh A. 2014. A comparative analysis of photosynthetic recovery from thermal stress: A desert plant case study. Oecologia 175: 1051-1061",15,2880,T50,T50,static,(5-25],(1440-2880],FvFm,T50,(5-25]  (1440-2880]  T50  FvFm,NA,Santalaceae,51.7,N,NA,Santalum acuminatum,(R.Br.) A.DC.
Santalum lanceolatum,Australian Arid Lands Botanic Garden,NA,NA,-32.4656,137.7446,common garden,"Curtis EM, Knight CA, Petrou K, Leigh A. 2014. A comparative analysis of photosynthetic recovery from thermal stress: A desert plant case study. Oecologia 175: 1051-1061",15,2880,T50,T50,static,(5-25],(1440-2880],FvFm,T50,(5-25]  (1440-2880]  T50  FvFm,NA,Santalaceae,53.1,N,NA,Santalum lanceolatum,R.Br.
Senna pleurocarpa,Australian Arid Lands Botanic Garden,NA,NA,-32.4656,137.7446,common garden,"Curtis EM, Knight CA, Petrou K, Leigh A. 2014. A comparative analysis of photosynthetic recovery from thermal stress: A desert plant case study. Oecologia 175: 1051-1061",15,2880,T50,T50,static,(5-25],(1440-2880],FvFm,T50,(5-25]  (1440-2880]  T50  FvFm,NA,Fabaceae,50.5,N,NA,Senna pleurocarpa,(F.Muell.) Randell
Solanum orbiculatum,Australian Arid Lands Botanic Garden,NA,NA,-32.4656,137.7446,common garden,"Curtis EM, Knight CA, Petrou K, Leigh A. 2014. A comparative analysis of photosynthetic recovery from thermal stress: A desert plant case study. Oecologia 175: 1051-1061",15,2880,T50,T50,static,(5-25],(1440-2880],FvFm,T50,(5-25]  (1440-2880]  T50  FvFm,NA,Solanaceae,51.6,N,NA,Solanum orbiculatum,Dunal
Triodia irritans,Australian Arid Lands Botanic Garden,NA,NA,-32.4656,137.7446,common garden,"Curtis EM, Knight CA, Petrou K, Leigh A. 2014. A comparative analysis of photosynthetic recovery from thermal stress: A desert plant case study. Oecologia 175: 1051-1061",15,2880,T50,T50,static,(5-25],(1440-2880],FvFm,T50,(5-25]  (1440-2880]  T50  FvFm,NA,Poaceae,54.3,N,NA,Triodia irritans,R.Br.
Xanthorrhoea thorntonii,Australian Arid Lands Botanic Garden,NA,NA,-32.4656,137.7446,common garden,"Curtis EM, Knight CA, Petrou K, Leigh A. 2014. A comparative analysis of photosynthetic recovery from thermal stress: A desert plant case study. Oecologia 175: 1051-1061",15,2880,T50,T50,static,(5-25],(1440-2880],FvFm,T50,(5-25]  (1440-2880]  T50  FvFm,NA,Asphodelaceae,53.5,N,NA,Xanthorrhoea thorntonii,Tate
Quercus canariensis,Northern-Tunisia between Tabarka and Ain Drahem,36.95828,8.82394,NA,NA,greenhouse,"Daas C, Montpied P, Hanchi B, Dreyer E. 2008. Responses of photosynthesis to high temperatures in oak saplings assessed by chlorophyll-a fluorescence: inter-specific diversity and temperature-induced plasticity. Annals of Forest Science 65: 305",1,0,Tc,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Fagaceae,51.395,N,NA,Quercus canariensis,Willd.
Quercus coccifera,Northern-Tunisia between Tabarka and Ain Drahem,36.95828,8.82394,NA,NA,greenhouse,"Daas C, Montpied P, Hanchi B, Dreyer E. 2008. Responses of photosynthesis to high temperatures in oak saplings assessed by chlorophyll-a fluorescence: inter-specific diversity and temperature-induced plasticity. Annals of Forest Science 65: 305",1,0,Tc,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Fagaceae,50.886,N,NA,Quercus coccifera,L.
Quercus petraea,"Domain Forest of Compizgne, Northern France",49.36291,2.883249,NA,NA,greenhouse,"Daas C, Montpied P, Hanchi B, Dreyer E. 2008. Responses of photosynthesis to high temperatures in oak saplings assessed by chlorophyll-a fluorescence: inter-specific diversity and temperature-induced plasticity. Annals of Forest Science 65: 305",1,0,Tc,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Fagaceae,52.514,N,NA,Quercus petraea,(Matt.) Liebl.
Quercus robur,"Domain Forest of Compiegne, Northern France",49.36291,2.883249,NA,NA,greenhouse,"Daas C, Montpied P, Hanchi B, Dreyer E. 2008. Responses of photosynthesis to high temperatures in oak saplings assessed by chlorophyll-a fluorescence: inter-specific diversity and temperature-induced plasticity. Annals of Forest Science 65: 305",1,0,Tc,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Fagaceae,51.602,N,NA,Quercus robur,L.
Quercus suber,Northern-Tunisia between Tabarka and Ain Drahem,36.95828,8.82394,NA,NA,greenhouse,"Daas C, Montpied P, Hanchi B, Dreyer E. 2008. Responses of photosynthesis to high temperatures in oak saplings assessed by chlorophyll-a fluorescence: inter-specific diversity and temperature-induced plasticity. Annals of Forest Science 65: 305",1,0,Tc,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Fagaceae,51.369,N,NA,Quercus suber,L.
Cylindropuntia bigelovii,"Boyd Deep Canyon Desert Research Center
 Boyd Deep Canyon Research Center, University of California",33.63333,-116.4,NA,NA,growth chamber,"Didden-zopfy, B, & Nobel, P S. 1982. Opuntia bigelovii. Oecologia, 176-180",60,1440,50% inhibition of stain uptake,T50,static,(25-60],(720-1440],cell death,T50,(25-60]  (720-1440]  T50  cell death,NA,Cactaceae,60.6,N,NA,Cylindropuntia bigelovii,(Engelm.) F.M.Knuth
Eschweilera coriacea,Caxiuana National Forest Reserve,NA,NA,-1.43,-51.27,in situ,"Docherty EM, Gloor E, Sponchiado D, Gilpin M, Pinto CAD, Junior HM, Coughlin I, Ferreira L, Junior JAS, da Costa ACL, Meir P, Galbraith D. 2022. Long-term drought effects on the thermal sensitivity of Amazon forest trees. Plant, Cell & Environment 46(1):185-198",15,30,T50,T50,static,(5-25],(15-720],FvFm,T50,(5-25]  (15-720]  T50  FvFm,"control v exclusion refer to a 50% rainfall exclusion experiment, est. 2002 (study done in 2019)",Lecythidaceae,49.60210217,N,NA,Eschweilera coriacea,(DC.) S.A.Mori
Leptobalanus octandrus,Caxiuana National Forest Reserve,NA,NA,-1.43,-51.27,in situ,"Docherty EM, Gloor E, Sponchiado D, Gilpin M, Pinto CAD, Junior HM, Coughlin I, Ferreira L, Junior JAS, da Costa ACL, Meir P, Galbraith D. 2022. Long-term drought effects on the thermal sensitivity of Amazon forest trees. Plant, Cell & Environment 46(1):185-198",15,30,T50,T50,static,(5-25],(15-720],FvFm,T50,(5-25]  (15-720]  T50  FvFm,"control v exclusion refer to a 50% rainfall exclusion experiment, est. 2002 (study done in 2019)",Chrysobalanaceae,49.16666683,N,NA,Leptobalanus octandrus,(Hoffmanns. ex Schult.) Sothers & Prance
Manilkara bidentata,Caxiuana National Forest Reserve,NA,NA,-1.43,-51.27,in situ,"Docherty EM, Gloor E, Sponchiado D, Gilpin M, Pinto CAD, Junior HM, Coughlin I, Ferreira L, Junior JAS, da Costa ACL, Meir P, Galbraith D. 2022. Long-term drought effects on the thermal sensitivity of Amazon forest trees. Plant, Cell & Environment 46(1):185-198",15,30,T50,T50,static,(5-25],(15-720],FvFm,T50,(5-25]  (15-720]  T50  FvFm,"control v exclusion refer to a 50% rainfall exclusion experiment, est. 2002 (study done in 2019)",Sapotaceae,50.990991,N,NA,Manilkara bidentata,(A.DC.) A.Chev.
Minquartia guianensis,Caxiuana National Forest Reserve,NA,NA,-1.43,-51.27,in situ,"Docherty EM, Gloor E, Sponchiado D, Gilpin M, Pinto CAD, Junior HM, Coughlin I, Ferreira L, Junior JAS, da Costa ACL, Meir P, Galbraith D. 2022. Long-term drought effects on the thermal sensitivity of Amazon forest trees. Plant, Cell & Environment 46(1):185-198",15,30,T50,T50,static,(5-25],(15-720],FvFm,T50,(5-25]  (15-720]  T50  FvFm,"control v exclusion refer to a 50% rainfall exclusion experiment, est. 2002 (study done in 2019)",Olacaceae,48.093093,N,NA,Minquartia guianensis,Aubl.
Pouteria decorticans,Caxiuana National Forest Reserve,NA,NA,-1.43,-51.27,in situ,"Docherty EM, Gloor E, Sponchiado D, Gilpin M, Pinto CAD, Junior HM, Coughlin I, Ferreira L, Junior JAS, da Costa ACL, Meir P, Galbraith D. 2022. Long-term drought effects on the thermal sensitivity of Amazon forest trees. Plant, Cell & Environment 46(1):185-198",15,30,T50,T50,static,(5-25],(15-720],FvFm,T50,(5-25]  (15-720]  T50  FvFm,"control v exclusion refer to a 50% rainfall exclusion experiment, est. 2002 (study done in 2019)",Sapotaceae,49.16666667,N,NA,Pouteria decorticans,T.D.Penn.
Pouteria guianensis,Caxiuana National Forest Reserve,NA,NA,-1.43,-51.27,in situ,"Docherty EM, Gloor E, Sponchiado D, Gilpin M, Pinto CAD, Junior HM, Coughlin I, Ferreira L, Junior JAS, da Costa ACL, Meir P, Galbraith D. 2022. Long-term drought effects on the thermal sensitivity of Amazon forest trees. Plant, Cell & Environment 46(1):185-198",15,30,T50,T50,static,(5-25],(15-720],FvFm,T50,(5-25]  (15-720]  T50  FvFm,"control v exclusion refer to a 50% rainfall exclusion experiment, est. 2002 (study done in 2019)",Sapotaceae,47.86786783,N,NA,Pouteria guianensis,Aubl.
Swartzia racemosa,Caxiuana National Forest Reserve,NA,NA,-1.43,-51.27,in situ,"Docherty EM, Gloor E, Sponchiado D, Gilpin M, Pinto CAD, Junior HM, Coughlin I, Ferreira L, Junior JAS, da Costa ACL, Meir P, Galbraith D. 2022. Long-term drought effects on the thermal sensitivity of Amazon forest trees. Plant, Cell & Environment 46(1):185-198",15,30,T50,T50,static,(5-25],(15-720],FvFm,T50,(5-25]  (15-720]  T50  FvFm,"control v exclusion refer to a 50% rainfall exclusion experiment, est. 2002 (study done in 2019)",Fabaceae,49.617117,N,NA,Swartzia racemosa,Benth.
Vouacapoua americana,Caxiuana National Forest Reserve,NA,NA,-1.43,-51.27,in situ,"Docherty EM, Gloor E, Sponchiado D, Gilpin M, Pinto CAD, Junior HM, Coughlin I, Ferreira L, Junior JAS, da Costa ACL, Meir P, Galbraith D. 2022. Long-term drought effects on the thermal sensitivity of Amazon forest trees. Plant, Cell & Environment 46(1):185-198",15,30,T50,T50,static,(5-25],(15-720],FvFm,T50,(5-25]  (15-720]  T50  FvFm,"control v exclusion refer to a 50% rainfall exclusion experiment, est. 2002 (study done in 2019)",Fabaceae,49.84234233,N,NA,Vouacapoua americana,Aubl.
Allenrolfea occidentalis,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Amaranthaceae,51.2,N,NA,Allenrolfea occidentalis,(S.Watson) Kuntze
Amaranthus palmeri,"Furnace Creek, Death Valley, CA",36.45364,-116.868,36.45364,-116.868,in situ,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Amaranthaceae,49.2,N,NA,Amaranthus palmeri,S.Watson
Anulocaulis annulatus,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Nyctaginaceae,49.5,N,NA,Anulocaulis annulatus,(Coville) Standl.
Atriplex elegans,"Furnace Creek, Death Valley, CA",36.45364,-116.868,36.45364,-116.868,in situ,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Amaranthaceae,47.8,N,NA,Atriplex elegans,(Moq.) D.Dietr.
Atriplex hymenelytra,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Amaranthaceae,50.6,N,NA,Atriplex hymenelytra,(Torr.) S.Watson
Avena fatua,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Poaceae,39.8,Y,Wild oat,Avena fatua,L.
Avena sativa,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Poaceae,41.4,Y,Oat,Avena sativa,L.
Boerhavia coccinea,"Furnace Creek, Death Valley, CA",36.45364,-116.868,36.45364,-116.868,in situ,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Nyctaginaceae,48.7,N,NA,Boerhavia coccinea,Mill.
Brachiaria texana,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Poaceae,47.8,N,NA,Brachiaria texana,(Buckley) S.T.Blake
Bromus rigidus,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Poaceae,41.4,N,NA,Bromus rigidus,Roth
Carnegiea gigantea,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Cactaceae,56,N,NA,Carnegiea gigantea,(Engelm.) Britton & Rose
Chloris virgata,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Poaceae,47.5,N,NA,Chloris virgata,Sw.
Chylismia brevipes,"Furnace Creek, Death Valley, CA",36.45364,-116.868,36.45364,-116.868,in situ,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Onagraceae,48,N,NA,Chylismia brevipes,(A.Gray) Small
Cryptantha angustifolia,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Boraginaceae,41.6,N,NA,Cryptantha angustifolia,(Torr.) Greene
Cylindropuntia echinocarpa,Organ Pipe National Monument,32.05656,-112.845,32.05656,-112.845,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Cactaceae,56.2,N,NA,Cylindropuntia echinocarpa,(Engelm. & J.M.Bigelow) F.M.Knuth
Cylindropuntia fulgida,Organ Pipe National Monument,32.05656,-112.845,32.05656,-112.845,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Cactaceae,55.9,N,NA,Cylindropuntia fulgida,(Engelm.) F.M.Knuth
Digitaria sanguinalis,"Furnace Creek, Death Valley, CA",36.45364,-116.868,36.45364,-116.868,in situ,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Poaceae,51.3,N,NA,Digitaria sanguinalis,(L.) Scop.
Distichlis spicata,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Poaceae,52.4,N,NA,Distichlis spicata,(L.) Greene
Echinocactus polycephalus,Organ Pipe National Monument,32.05656,-112.845,32.05656,-112.845,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Cactaceae,49.8,N,NA,Echinocactus polycephalus,Engelm. & J.M.Bigelow
Ferocactus emoryi,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Cactaceae,57.2,N,NA,Ferocactus emoryi,(Engelm.) Orcutt
Geraea canescens,"Furnace Creek, Death Valley, CA",36.45364,-116.868,36.45364,-116.868,in situ,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Asteraceae,47,N,NA,Geraea canescens,Torr. & A.Gray
Gossypium hirsutum,"Furnace Creek, Death Valley, CA",36.45364,-116.868,36.45364,-116.868,in situ,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Malvaceae,44.3,Y,cotton,Gossypium hirsutum,L.
Hordeum vulgare,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Poaceae,41.5,Y,Barley,Hordeum vulgare,L.
Larrea divaricata,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Zygophyllaceae,52.4,N,NA,Larrea divaricata,Cav.
Lepidium lasiocarpum,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Brassicaceae,42,N,NA,Lepidium lasiocarpum,Nutt.
Lophocereus schottii,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Cactaceae,57.9,N,NA,Lophocereus schottii,(Engelm.) Britton & Rose
Mollugo verticillata,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Molluginaceae,47.3,N,NA,Mollugo verticillata,L.
Nerium oleander,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Apocynaceae,49.9,N,NA,Nerium oleander,L.
Opuntia basilaris,Organ Pipe National Monument,32.05656,-112.845,32.05656,-112.845,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Cactaceae,51.5,N,NA,Opuntia basilaris,Engelm. & J.M.Bigelow
Opuntia engelmannii,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Cactaceae,55,Y,Prickly Pear,Opuntia engelmannii,Salm-Dyck ex Engelm.
Pectis papposa,"Furnace Creek, Death Valley, CA",36.45364,-116.868,36.45364,-116.868,in situ,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Asteraceae,47.8,N,NA,Pectis papposa,Harv. & A.Gray
Perityle emoryi,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Asteraceae,39.6,N,NA,Perityle emoryi,Torr.
Phacelia crenulata,"Furnace Creek, Death Valley, CA",36.45364,-116.868,36.45364,-116.868,in situ,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Boraginaceae,47,N,NA,Phacelia crenulata,Torr. ex S.Watson
Portulaca oleracea,"Furnace Creek, Death Valley, CA",36.45364,-116.868,36.45364,-116.868,in situ,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Portulacaceae,49.7,N,NA,Portulaca oleracea,L.
Sporobolus airoides,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Poaceae,50.1,N,NA,Sporobolus airoides,(Torr.) Torr.
Stenocereus thurberi,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Cactaceae,54.5,N,NA,Stenocereus thurberi,(Engelm.) Buxb.
Suaeda torreyana,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Amaranthaceae,49.2,N,NA,Suaeda torreyana,S.Watson
Tamarix aphylla,"Furnace Creek, Death Valley, CA",NA,NA,36.45364,-116.868,common garden,"Downton WJS, Berry JA, Seemann JR. 1984. Tolerance of Photosynthesis to High Temperature in Desert Plants. Plant Physiology 74: 786-790",1,0,t2,Tcrit,dynamic,(0-5],[0-1],fo-rise,Tcrit,(0-5]  [0-1]  Tcrit  fo-rise,NA,Tamaricaceae,51.2,N,NA,Tamarix aphylla,(L.) H.Karst.
